X;time;peak;backend
[32, 64, 1, 4];0.009413169114850461;0.053045037082586934;jir
[32, 64, 2, 1];0.00438553118146956;0.1138566536413465;jir
[32, 64, 2, 4];0.007014075294137001;0.07118855783873367;jir
[32, 64, 4, 1];0.002039951825281605;0.2447714198804552;jir
[32, 64, 4, 4];0.005727465031668544;0.08718026247232115;jir
[32, 64, 8, 1];0.0019254591315984726;0.2593261506139468;jir
[32, 64, 8, 4];0.0066998982802033424;0.07452678889727118;jir
[32, 128, 1, 1];0.010559669113717973;0.04728575293265961;jir
[32, 128, 1, 4];0.010592959471978247;0.04713714860165096;jir
[32, 128, 2, 1];0.0042727707186713815;0.11686138518501385;jir
[32, 128, 2, 4];0.007994477986358106;0.06245835007788563;jir
[32, 128, 4, 1];0.0017427925195079297;0.28650679824061115;jir
[32, 128, 4, 4];0.006911493255756795;0.07224515546564474;jir
[32, 256, 1, 1];0.009775530896149576;0.05107875061379834;jir
[32, 256, 1, 4];0.009785020491108298;0.05102921401295391;jir
[32, 256, 2, 1];0.004213699663523585;0.11849964274491297;jir
[32, 256, 2, 4];0.00882809201721102;0.05656056866970119;jir
[64, 16, 1, 1];0.010790517320856452;0.046274139590767385;jir
[64, 16, 1, 4];0.010823130374774337;0.046134702943769694;jir
[64, 16, 2, 1];0.003979038796387613;0.12548807144459517;jir
[64, 16, 2, 4];0.012017485336400568;0.041549616311947986;jir
[64, 16, 4, 1];0.003740248503163457;0.13349966034063895;jir
[64, 16, 4, 4];0.012953493278473616;0.03854727786763809;jir
[64, 16, 8, 1];0.003708617470692843;0.13463828736928793;jir
[64, 16, 8, 4];0.011506670503877103;0.0433941255720898;jir
[64, 16, 16, 1];0.0035888535785488784;0.13913131138768867;jir
[64, 16, 16, 4];0.010769685148261487;0.04636364925139047;jir
[64, 32, 1, 1];0.005042037751991302;0.0990317663854664;jir
[64, 32, 1, 4];0.004994287213776261;0.09997861224011574;jir
[64, 32, 2, 1];0.0029266214987728745;0.17061376230963562;jir
[64, 32, 2, 4];0.007419924368150532;0.06729474317894756;jir
[64, 32, 4, 1];0.002714110421948135;0.1839725829590608;jir
[64, 32, 4, 4];0.00809918309096247;0.061650897276180436;jir
[64, 32, 8, 1];0.0025512287102174014;0.19571820541301269;jir
[64, 32, 8, 4];0.007213381119072437;0.0692216169532038;jir
[64, 64, 1, 1];0.0037060663453303277;0.13473096761774225;jir
[64, 64, 1, 4];0.0037123539368622005;0.13450277458833776;jir
[64, 64, 2, 1];0.0022331752988975495;0.22359279408490895;jir
[64, 64, 2, 4];0.005876529088709503;0.08496884763511939;jir
[64, 64, 4, 1];0.0020841913938056678;0.23957584041749577;jir
[64, 64, 4, 4];0.007007834268733859;0.07125195682633056;jir
[64, 128, 1, 1];0.00356136477785185;0.14020521230152858;jir
[64, 128, 1, 4];0.0035607038298621774;0.14023123759249356;jir
[64, 128, 2, 1];0.0020142530847806484;0.24789432297991532;jir
[64, 128, 2, 4];0.005939792958088219;0.08406385681877647;jir
[64, 256, 1, 1];0.0034781289868988097;0.14356049089689257;jir
[64, 256, 1, 4];0.003475824953056872;0.1436556534076228;jir
[128, 16, 1, 1];0.01076538860797882;0.04638215330116647;jir
[128, 16, 1, 4];0.010768118081614375;0.04637039647758446;jir
[128, 16, 2, 1];0.004202500684186816;0.11881542497797916;jir
[128, 16, 2, 4];0.007965101394802332;0.06268870664819658;jir
[128, 16, 4, 1];0.003902684722561389;0.12794318277244607;jir
[128, 16, 4, 4];0.007991077261976898;0.0624849301780344;jir
[128, 16, 8, 1];0.0038587769377045333;0.1293990072043231;jir
[128, 16, 8, 4];0.008317933417856693;0.06002956259423468;jir
[128, 32, 1, 1];0.0042841286631301045;0.11655156603001886;jir
[128, 32, 1, 4];0.00429077708395198;0.11637097313431372;jir
[128, 32, 2, 1];0.0030433241045102477;0.16407122199765148;jir
[128, 32, 2, 4];0.004904778674244881;0.1018031470785536;jir
[128, 32, 4, 1];0.0028400632727425545;0.17581365512315725;jir
[128, 32, 4, 4];0.004892132768873125;0.10206630284830162;jir
[128, 64, 1, 1];0.0037417799467220902;0.133445021319152;jir
[128, 64, 1, 4];0.003749209630768746;0.13318057775807077;jir
[128, 64, 2, 1];0.0024030439381022006;0.2077872555073809;jir
[128, 64, 2, 4];0.0038898513885214925;0.12836529082713719;jir
[128, 128, 1, 1];0.0036346028791740537;0.1373800443572458;jir
[128, 128, 1, 4];0.0036345309927128255;0.13738276156209342;jir
[256, 16, 1, 1];0.008817438501864672;0.056628906984302806;jir
